职位名称,技能,薪资,学历要求,地区
销售业务代表-松江,"['个人（ToC）', '无经验要求', '面销/陌拜经验', '批发/零售']",6-8K,高中,上海
Service Delivery Manager(Shang Hai),"['销售支持/交付管理', '计算机相关专业', '管理相关专业']",18-20K·14薪,大专,上海
cmo市场总监,['战略管理'],50-80K·15薪,本科,上海
硬件技术工程师,"['电子元器件工程师', '电控工程师', '电子工艺工程师', '电路设计']",7-10K,大专,上海
## C++ 底层开发工程师,"['Linux', 'Unix', '驱动开发']",30-35K·13薪,本科,上海
质量体系经理,"['生物工程', 'QC']",9-14K,本科,上海
国内电商运营,"['店铺运营', '运动户外', '淘宝', '拼多多', '京东', '抖音', '天猫']",7-10K,大专,上海
运营总监,"['运营管理', '公司管理', '运营部门管理', '企业运营']",20-30K,学历不限,上海
软装设计师,"['别墅', '室内方案设计', 'PS', '普通住宅', 'AutoCAD']",10-15K·13薪,本科,上海
销售顾问,"['企业（ToB）', '对企业/机构（ToB）销售经验']",7-12K,大专,上海
IC,['股权投资'],15-20K,本科,上海
技术合伙人,"['SQL', 'Python', 'Hadoop', 'HDFS', 'BO', 'Hyperion']",15-16K,本科,上海
费用收入会计,"['应收应付', '收入账', '不可兼职', '用友U8']",8-9K,大专,上海
技术支持,"['招投标经验', '售前技术支持经验']",7-8K,本科,上海
全屋定制设计师,"['整屋家具', 'SketchUp', '3dsMAX', 'AutoCAD', '独立完成效果图']",8-13K,大专,上海
中控,"['电商运营', '直播中控']",6-8K,高中,上海
高级/资深Java开发工程师(J10040),"['数据结构', '后端开发', '微服务架构', '高级软件工程师']",25-50K·16薪,本科,上海
新媒体运营总监,"['社群运营', '短视频运营', '公众号/朋友圈运营']",20-30K,本科,上海
销售经理,"['客户关系维护', '运营商', '服务器，储存', '私有云平台']",18-30K·16薪,本科,上海
pcblayout工程师,['Layout设计'],13-22K,本科,上海
短视频拍摄剪辑,"['两者皆有', '摄影', '静物/产品摄影', '广告拍摄', '外景拍摄']",10-15K,高中,上海
嵌入式硬件开发工程师,"['stm32', '汽车硬件产品', '智能硬件/可穿戴设备', '硬件开发经验']",22-30K,本科,上海
美容师,"['综合性美容机构', '医美机构', '了解美容常识', '销售经验']",7-12K,学历不限,上海
民宿店长,"['民宿型', '酒店管理经验', '餐饮管理经验', '酒店管理专业']",5-7K,大专,上海
数据治理工程师（实习岗）,"['计算机相关专业', 'ETL开发经验']",250-350元/天,大专,上海
化妆品导购,"['有销售经验', '销售', '导购', '营业员']",5-10K,学历不限,上海
首席设计师,"['CAD', 'PhotoShop']",15-30K,本科,上海
审核员（徐汇区）,"['保险理赔', '保险核保']",4-6K,大专,上海
旅游计调操作,"['国内线路', '国外线路', '组团社', '交通', '人员']",5-10K,大专,上海
可靠性/失效分析工程师,"['FMEA', '功率', '失效分析', '测试']",30-60K·16薪,本科,上海
Java开发工程师,"['MVC开发', '服务器配置', '多线程', 'Spring', 'GIT', 'NoSQL']",15-25K,大专,上海
化妆品备案专员,"['合规管理', '全职', '快消品', '电商']",7-12K·13薪,学历不限,上海
DBA运维工程师,"['Linux', 'DBA']",10-20K,大专,上海
医学影像,"['核磁共振成像', 'pet']",10-15K,硕士,上海
课程顾问（包住+五险一金）,"['全职工作', '培训机构', '线下教育']",4-5K,大专,上海
家装顾问（新店开业）(J10389),"['面销/陌拜经验', '电话销售经验', '个人（ToC）', '房地产']",15-30K,学历不限,上海
口腔前台,"['口腔医院/诊所', '候诊服务', '分诊']",7-9K,大专,上海
摄影师,"['摄影', '摄影相关专业', '摄影工作室', '实景拍摄', '儿童摄影']",8-13K,学历不限,上海
前厅经理,"['餐饮', '酒店', '轮班工作制', '正常工作制', '连锁餐厅工作经验']",9-14K,学历不限,上海
项目经理,"['旧改项目', '建筑施工现场管理', '项目申报', '建筑工程管理']",8-13K,大专,上海
篮球助教（带薪打球！）,"['青少年', '销售经验', '篮球', '运动']",10-15K,大专,上海
关卡策划-【游戏事业部】（上海）,['RPG游戏'],25-40K·16薪,本科,上海
camera驱动开发,['C/C++'],30-40K·15薪,学历不限,上海
天猫运营主管,"['美妆日化', '店铺运营', '天猫', 'C端用户', '过千万销售额店铺经验']",10-15K·18薪,大专,上海
